dataset,protocol,method,category,metric,value,n,ci95_low,ci95_high,ci_method,source,comparability
Ganis-Kievit 3-D,full n=78; shuffled order,claude-opus-4-6,direct historical VLM,accuracy,0.5384615384615384,78,0.4286364394039756,0.6446760367720094,wilson_over_items,historical_direct_vlm_results.json,matched
Maze generation,"held-out procedural validation, 3 seeds",Trajectory flow (no PPO),ours,goal_reached,1.0,3 seeds,1.0,1.0,student_t_over_independent_seeds,neurreps_flow_v1/posthoc_v2/posthoc_results.json,matched
Maze generation,"held-out procedural validation, 3 seeds",Trajectory flow (no PPO),ours,endpoint_iou,0.9748325510819753,3 seeds,0.9461731359605917,1.0,student_t_over_independent_seeds,neurreps_flow_v1/posthoc_v2/posthoc_results.json,matched
Maze generation,"held-out procedural validation, 3 seeds",Trajectory flow (no PPO),ours,intermediate_prefix_iou,0.8423049672941366,3 seeds,0.82202594882113,0.8625839857671435,student_t_over_independent_seeds,neurreps_flow_v1/posthoc_v2/posthoc_results.json,matched
Maze trace validity,fixed current subset n=100,GPT-5.6 Sol (high; partial),direct frontier VLM,accuracy,0.75,4/100 cached,0.30064184258240184,0.9544127391902995,wilson_over_items,gpt-5.6-sol_partial_results.json,incomplete due provider credit exhaustion; excluded from headline claims
Maze trace validity,"procedural random sample, seed 0",gpt-4o-mini,direct historical VLM,accuracy,0.506,500,0.4622986388334935,0.5496098690809679,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Maze trace validity,"procedural random sample, seed 0",claude-opus-4-6,direct historical VLM,accuracy,0.5,500,0.4563412653024843,0.5436587346975157,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Maze trace validity,procedural random samples across 3 seeds,ViperGPT program-of-tools,tool baseline,accuracy,1.0,,1.0,1.0,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Maze path solving,fixed current subset n=50,GPT-5.6 Sol (high; partial),direct frontier VLM,success_rate,,0/50 cached,,,,gpt-5.6-sol_partial_results.json,incomplete due provider credit exhaustion; excluded from headline claims
Maze path solving,"procedural random sample, seed 0",gpt-4o-mini,direct historical VLM,success_rate,0.0,500,4.336808689942018e-19,0.007624340461552241,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Maze path solving,"procedural random sample, seed 0",claude-opus-4-6,direct historical VLM,success_rate,0.0,500,4.336808689942018e-19,0.007624340461552241,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Maze path solving,procedural random samples across 3 seeds,ViperGPT program-of-tools,tool baseline,success_rate,1.0,,1.0,1.0,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Maze trace validity,procedural random samples across 3 seeds,FoT trace controller (legacy),ours,accuracy,0.4916666666666667,200/seed × 3 seeds,0.43565415940762275,0.5476791739257106,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
SAT-v2 / SAT-Real,first/all 150 test items; single answer ordering,FoT heatmap MCQ,ours,accuracy,0.5444444444444444,150/seed × 3 seeds,0.519145182463309,0.5697437064255798,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
SAT-v2 / SAT-Real,first/all 150 test items; single answer ordering,Matched direct MCQ,trained local,accuracy,0.5155555555555555,150/seed × 3 seeds,0.3214636426462586,0.7096474684648525,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
SAT-v2 / SAT-Real,all 150 test items; single answer ordering,GPT-5.6 Sol (high; partial),direct frontier VLM,accuracy,,0/150 cached,,,,gpt-5.6-sol_partial_results.json,incomplete due provider credit exhaustion; excluded from headline claims
SAT-v2 / SAT-Real,paper circular evaluation,GPT-4V (paper),published general VLM,accuracy,0.507,150,,,,https://arxiv.org/abs/2512.07733,published protocol; circular answer-order evaluation
SAT-v2 / SAT-Real,paper circular evaluation,GPT-4o (paper),published general VLM,accuracy,0.603,150,,,,https://arxiv.org/abs/2512.07733,published protocol; circular answer-order evaluation
SAT-v2 / SAT-Real,paper circular evaluation,GPT-4.1 (paper),published general VLM,accuracy,0.74,150,,,,https://arxiv.org/abs/2512.07733,published protocol; circular answer-order evaluation
SAT-v2 / SAT-Real,paper circular evaluation,SpatialDreamer,published spatial SOTA,accuracy,0.939,150,,,,https://arxiv.org/abs/2512.07733,published protocol; circular answer-order evaluation
BLINK Multi-view,full validation n=133,Frozen trajectory flow (colored source),ours,accuracy,0.7468671679197995,133/seed × 3 seeds,0.6929448621553883,0.8007894736842106,student_t_over_independent_seeds,neurreps_flow_v1/blink_multiview_zero_shot/zero_shot_results.json,matched
BLINK Multi-view,full validation n=133,GPT-5.6 Sol (high; partial),direct frontier VLM,accuracy,,0/133 cached,,,,gpt-5.6-sol_partial_results.json,incomplete due provider credit exhaustion; excluded from headline claims
BLINK Multi-view,full validation n=133,GPT-4V direct,published general VLM,accuracy,0.5865,133,,,,https://arxiv.org/abs/2404.12390,matched public validation
BLINK Multi-view,full validation n=133,Gemini Pro direct,published general VLM,accuracy,0.4135,133,,,,https://arxiv.org/abs/2404.12390,matched public validation
BLINK Multi-view,full validation n=133,P2 + Gemini 2.5 Pro,published tool VLM,accuracy,0.6391,133,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Janjua_Dont_Show_Pixels_Show_Cues_Unlocking_Visual_Tool_Reasoning_in_CVPR_2026_paper.html,matched public validation
BLINK Multi-view,BLINK Multi-view,DR-MV3D,published spatial model,accuracy,0.564,,,,,https://dr-mv3d.github.io/,published reference; split/protocol differs
BLINK Multi-view,full validation n=133,Human,human,accuracy,0.9248,133,,,,https://arxiv.org/abs/2404.12390,matched public validation
BLINK Multi-view,paper dev/test table,LoFTR specialist,published CV specialist,accuracy,0.9022,,,,,https://arxiv.org/abs/2404.12390,published reference; split/protocol differs
